N_tilde,t_Q,root
13.218181818181817,84.86363636363636,66.99976306152396
13.218181818181817,85.87272727272726,67.92683711385412
13.218181818181817,86.88181818181818,68.854594432833
13.218181818181817,87.89090909090908,69.78302120492765
13.218181818181817,88.89999999999999,70.7121040540835
13.218181818181817,89.90909090909089,71.64183002301054
13.218181818181817,90.91818181818181,72.57218655547244
13.218181818181817,91.92727272727272,73.50316147951371
13.218181818181817,92.93636363636362,74.43474299156567
13.218181818181817,93.94545454545454,75.36691964137643
13.218181818181817,94.95454545454544,76.29968031771307
13.218181818181817,95.96363636363635,77.23301423478942
13.218181818181817,96.97272727272727,78.16691091937469
13.218181818181817,97.98181818181817,79.10136019854264
13.218181818181817,98.99090909090908,80.03635218802273
13.218181818181817,100.0,80.97187728111813
14.227272727272727,0.1,1.0915765622863344e-05
14.227272727272727,1.1090909090909091,0.01432708240287982
14.227272727272727,2.118181818181818,0.09096919422348829
14.227272727272727,3.1272727272727274,0.25794958111163774
14.227272727272727,4.136363636363636,0.5175022877697181
14.227272727272727,5.145454545454545,0.8596152223979313
14.227272727272727,6.154545454545454,1.271421724712847
14.227272727272727,7.163636363636363,1.7410594568740203
14.227272727272727,8.172727272727272,2.2586705727394434
14.227272727272727,9.181818181818182,2.8163524277642336
14.227272727272727,10.19090909090909,3.407827380438268
14.227272727272727,11.2,4.028096112072178
14.227272727272727,12.209090909090909,4.673146891631029
14.227272727272727,13.218181818181817,5.339729165809238
14.227272727272727,14.227272727272727,6.0251819074585065
14.227272727272727,15.236363636363635,6.727304416980026
14.227272727272727,16.245454545454546,7.444258893584247
14.227272727272727,17.254545454545454,8.174496498184688
14.227272727272727,18.263636363636365,8.91670076782947
14.227272727272727,19.272727272727273,9.669743902562276
14.227272727272727,20.28181818181818,10.432652670351672
14.227272727272727,21.290909090909093,11.204581559903538
14.227272727272727,22.3,11.984791445114606
14.227272727272727,23.30909090909091,12.772632479660244
14.227272727272727,24.31818181818182,13.567530267834648
14.227272727272727,25.327272727272728,14.368974595360813
14.227272727272727,26.336363636363636,15.176510177531876
14.227272727272727,27.345454545454544,15.989729010003874
14.227272727272727,28.354545454545455,16.80826400265539
14.227272727272727,29.363636363636363,17.63178364820192
14.227272727272727,30.37272727272727,18.459987531117175
14.227272727272727,31.381818181818183,19.292602523451535
14.227272727272727,32.39090909090909,20.129379545649634
14.227272727272727,33.4,20.970090794848627
14.227272727272727,34.40909090909091,21.8145273621366
14.227272727272727,35.418181818181814,22.662497175157526
14.227272727272727,36.42727272727273,23.51382321422407
14.227272727272727,37.43636363636364,24.368341959458572
14.227272727272727,38.445454545454545,25.2259020339672
14.227272727272727,39.45454545454545,26.08636301407175
14.227272727272727,40.46363636363636,26.949594382492194
